id,type,why,henry_index,haiku_4_5_score,haiku_4_5_label,haiku_4_5_on_topic,haiku_4_5_quote,sonnet_5_score,sonnet_5_label,sonnet_5_on_topic,sonnet_5_quote
stmt_2002-01-15,statement,"hawkish extreme, aftermath of 2001 rand collapse",1.4084,1.7,strongly hawkish,True,"To counter second round effects of the depreciation on inflation, the Monetary Policy Committee decided to increase the repo rate by 1 percentage point",1.8,strongly hawkish,True,"the Monetary Policy Committee decided to increase the repo rate by 1 percentage point to 10,50 per cent"
stmt_2002-09-12,statement,"hawkish extreme, same episode",1.4286,1.7,strongly hawkish,True,"the Monetary Policy Committee has decided to increase the repurchase rate by a further 100 basis points to 13,50 per cent with effect from 13 September 2002",1.9,strongly hawkish,True,"the Monetary Policy Committee has decided to increase the repurchase rate by a further 100 basis points to 13,50 per cent"
stmt_2009-02-05,statement,"dovish extreme, GFC cutting cycle",-0.2424,-1.7,strongly dovish,True,"The Monetary Policy Committee has decided to reduce the repurchase rate by 100 basis points to 10,5 per cent per annum with effect from 6 February 2009",-1.7,strongly dovish,True,"The Monetary Policy Committee has decided to reduce the repurchase rate by 100 basis points to 10,5 per cent per annum"
stmt_2019-11-21,statement,"dovish extreme, pre-pandemic growth-driven cuts",-0.2588,-0.8,leaning dovish,True,the MPC decided to keep the repurchase rate unchanged at 6.5% per annum. Three members preferred to keep interest rates on hold and two members preferred a cut of 25 basis points.,-0.7,leaning dovish,True,Two members preferred a cut of 25 basis points... The implied path of policy rates over the forecast period generated by the Quarterly Projection Model indicated one repo cut of 25 basis points in the third quarter of 2020.
stmt_2020-05-21,statement,"dovish extreme, pandemic emergency cut",-0.1961,-1.7,strongly dovish,True,"the MPC decided to cut the repo rate by 50 basis points, taking it to 3.75% per annum, with effect from 22 May 2020...The implied path of policy rates over the forecast period generated by the Quarterly Projection Model indicates two repo rate cuts of 25 basis points in the next two quarters of 2020",-1.8,strongly dovish,True,the MPC decided to cut the repo rate by 50 basis points... The implied path of policy rates over the forecast period generated by the Quarterly Projection Model indicates two repo rate cuts of 25 basis points in the next two quarters of 2020.
stmt_2013-01-24,statement,"near sample average, hold",0.487,0.3,leaning hawkish,True,"The monetary policy stance remains accommodative and appropriate, with the real policy rate remaining slightly negative, notwithstanding the expected temporary breach of the inflation target. However, further accommodation at this stage is constrained by the upside risks to the inflation outlook.",0.3,neutral,True,"The monetary policy stance remains accommodative and appropriate, with the real policy rate remaining slightly negative, notwithstanding the expected temporary breach of the inflation target. However, further accommodation at this stage is constrained by the upside risks to the inflation outlook."
stmt_2026-07-23,statement,"the meeting that motivated the whole project -- 4-2 vote, hold despite hawkish tone",0.7779,0.5,leaning hawkish,True,"the committee decided to keep the policy rate unchanged, at 7%. Four members preferred a hold, while two favoured an increase of 25 basis points... the policy stance is appropriate for now, with rates somewhat restrictive",1.1,leaning hawkish,True,"the policy stance is appropriate for now, with rates somewhat restrictive... The scenario showed extra pressure on wages, which feeds through to core inflation. The model therefore sees tighter policy, with one more rate hike than the baseline forecast, and rates staying higher-for longer after that."
sp_2009-05-20,speech,"dovish extreme, Mboweni, GFC",-0.3797,0.2,neutral,False,"the models themselves have become increasingly sophisticated. But this does not guarantee the success of monetary policy formulation and implementation especially, in an uncertain future",0.0,neutral,False,The current financial crisis has forced us all to make a major re-assessment of the way in which we have generally perceived the economy to work.
sp_2025-11-27,speech,"scores dovish by Henry but is a green-finance speech, not really about policy stance -- tests on_topic flagging",-0.4,0.1,neutral,False,the answer does not lie in central banks stepping in to directly provide funding and supplanting market mechanisms,0.0,neutral,False,the answer does not lie in central banks stepping in to directly provide funding and supplanting market mechanisms
sp_2023-05-04,speech,"hawkish extreme by Henry, but it's a banknote-launch speech -- also tests on_topic flagging",2.0,0.0,neutral,False,the primary object of the South African Reserve Bank is protect the value of the currency in the interest of balanced and sustainable economic growth,0.0,neutral,False,the upgraded banknotes and coin will have the same value as the current banknotes and coin in circulation
sp_1996-04-25,speech,"hawkish extreme, historical (Stals era)",2.0,0.0,neutral,False,"exchange views on the main objectives and efficacy of monetary policy and the monetary policy instruments used by members, with a view to better co-ordination, co-operation and harmonisation in the future",0.0,neutral,False,it is premature to attempt any form of integration of the economies now
sp_2025-08-08,speech,"recent, near speeches-average tone, AGM address",0.7097,-0.7,leaning dovish,True,"To the extent that inflation settles at 3%, and that inflation expectations continue their move lower, the Bank's forecasting model shows lower interest rates if inflation remains contained at current levels.",-0.6,leaning dovish,True,the Bank's forecasting model shows lower interest rates if inflation remains contained at current levels
sp_1998-07-30,speech,"historical, near speeches-average tone",0.7097,1.2,leaning hawkish,True,This will require great caution with the implementation of monetary policy for the next twelve months,1.3,leaning hawkish,True,This will require great caution with the implementation of monetary policy for the next twelve months... provided financial stability will be restored and maintained with appropriate restrictive monetary and fiscal policies.
trap_growth_weakened,sentence,Henry would tag 'growth' hawkish and 'increased' hawkish despite the sentence being dovish -- this is the specific failure mode the LLM method exists to fix,,-1.5,leaning dovish,True,"Growth has weakened sharply across most sectors, and the Committee judged that downside risks to the recovery have increased.",-1.4,strongly dovish,True,"Growth has weakened sharply across most sectors, and the Committee judged that downside risks to the recovery have increased."
trap_risk_hot,sentence,Henry would tag 'risk' dovish despite the sentence being hawkish,,1.8,strongly hawkish,True,policy needs to stay restrictive,1.7,strongly hawkish,True,policy needs to stay restrictive
